about	Thing 	"The subject matter of the content.
Inverse property: subjectOf."
currenciesAccepted	Text 	The currency accepted (in ISO 4217 currency format).
openingHours	Text 	"The general opening hours for a business. Opening hours can be specified as a weekly time range, starting with days, then times per day. Multiple days can be listed with commas ',' separating each day. Day or time ranges are specified using a hyphen '-'.
Days are specified using the following two-letter combinations: Mo, Tu, We, Th, Fr, Sa, Su.
Times are specified using 24:00 time. For example, 3pm is specified as 15:00.
Here is an example: <time itemprop=""openingHours"" datetime=""Tu,Th 16:00-20:00"">Tuesdays and Thursdays 4-8pm</time>.
If a business is open 7 days a week, then it can be specified as <time itemprop=""openingHours"" datetime=""Mo-Su"">Monday through Sunday, all day</time>."
paymentAccepted	Text 	Cash, credit card, etc.
priceRange	Text 	The price range of the business, for example $$$.
acceptsReservations	"Boolean  or 
Text  or 
URL "	Indicates whether a FoodEstablishment accepts reservations. Values can be Boolean, an URL at which reservations can be made or (for backwards compatibility) the strings Yes or No.
hasMenu	"Menu  or 
Text  or 
URL "	Either the actual menu as a structured representation, as text, or a URL of the menu. Supersedes menu.
servesCuisine	Text 	The cuisine of the restaurant.
starRating	Rating 	An official rating for a lodging business or food establishment, e.g. from national associations or standards bodies. Use the author property to indicate the rating organization, e.g. as an Organization with name such as (e.g. HOTREC, DEHOGA, WHR, or Hotelstars).
additionalProperty	PropertyValue 	"A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.
Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism."
aggregateRating	AggregateRating 	The overall rating, based on a collection of reviews or ratings, of the item.
audience	Audience 	An intended audience, i.e. a group for whom something was created. Supersedes serviceAudience.
award	Text 	An award won by or for this item. Supersedes awards.
brand	"Brand  or 
Organization "	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
category	"PhysicalActivityCategory  or 
Text  or 
Thing "	A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.
color	Text 	The color of the product.
depth	"Distance  or 
QuantitativeValue "	The depth of the item.
gtin12	Text 	The GTIN-12 code of the product, or the product to which the offer refers. The GTIN-12 is the 12-digit GS1 Identification Key composed of a U.P.C. Company Prefix, Item Reference, and Check Digit used to identify trade items. See GS1 GTIN Summary for more details.
gtin13	Text 	The GTIN-13 code of the product, or the product to which the offer refers. This is equivalent to 13-digit ISBN codes and EAN UCC-13. Former 12-digit UPC codes can be converted into a GTIN-13 code by simply adding a preceeding zero. See GS1 GTIN Summary for more details.
gtin14	Text 	The GTIN-14 code of the product, or the product to which the offer refers. See GS1 GTIN Summary for more details.
gtin8	Text 	The GTIN-8 code of the product, or the product to which the offer refers. This code is also known as EAN/UCC-8 or 8-digit EAN. See GS1 GTIN Summary for more details.
height	"Distance  or 
QuantitativeValue "	The height of the item.
isAccessoryOrSparePartFor	Product 	A pointer to another product (or multiple products) for which this product is an accessory or spare part.
isConsumableFor	Product 	A pointer to another product (or multiple products) for which this product is a consumable.
isRelatedTo	"Product  or 
Service "	A pointer to another, somehow related product (or multiple products).
isSimilarTo	"Product  or 
Service "	A pointer to another, functionally similar product (or multiple products).
itemCondition	OfferItemCondition 	A predefined value from OfferItemCondition or a textual description of the condition of the product or service, or the products or services included in the offer.
logo	"ImageObject  or 
URL "	An associated logo.
manufacturer	Organization 	The manufacturer of the product.
material	"Product  or 
Text  or 
URL "	A material that something is made from, e.g. leather, wool, cotton, paper.
model	"ProductModel  or 
Text "	The model of the product. Use with the URL of a ProductModel or a textual representation of the model identifier. The URL of the ProductModel can be from an external source. It is recommended to additionally provide strong product identifiers via the gtin8/gtin13/gtin14 and mpn properties.
mpn	Text 	The Manufacturer Part Number (MPN) of the product, or the product to which the offer refers.
offers	Offer 	An offer to provide this item—for example, an offer to sell a product, rent the DVD of a movie, perform a service, or give away tickets to an event.
productID	Text 	"The product identifier, such as ISBN. For example: meta itemprop=""productID"" content=""isbn:123-456-789""."
productionDate	Date 	The date of production of the item, e.g. vehicle.
purchaseDate	Date 	The date the item e.g. vehicle was purchased by the current owner.
releaseDate	Date 	The release date of a product or product model. This can be used to distinguish the exact variant of a product.
review	Review 	A review of the item. Supersedes reviews.
sku	Text 	The Stock Keeping Unit (SKU), i.e. a merchant-specific identifier for a product or service, or the product to which the offer refers.
weight	QuantitativeValue 	The weight of the product or person.
width	"Distance  or 
QuantitativeValue "	The width of the item.
acceptedPaymentMethod	"LoanOrCredit  or 
PaymentMethod "	The payment method(s) accepted by seller for this offer.
addOn	Offer 	An additional offer that can only be obtained in combination with the first base offer (e.g. supplements and extensions that are available for a surcharge).
advanceBookingRequirement	QuantitativeValue 	The amount of time that is required between accepting the offer and the actual usage of the resource or service.
aggregateRating	AggregateRating 	The overall rating, based on a collection of reviews or ratings, of the item.
areaServed	"AdministrativeArea  or 
GeoShape  or 
Place  or 
Text "	The geographic area where a service or offered item is provided. Supersedes serviceArea.
availability	ItemAvailability 	The availability of this item—for example In stock, Out of stock, Pre-order, etc.
availabilityEnds	DateTime 	The end of the availability of the product or service included in the offer.
availabilityStarts	DateTime 	The beginning of the availability of the product or service included in the offer.
availableAtOrFrom	Place 	The place(s) from which the offer can be obtained (e.g. store locations).
availableDeliveryMethod	DeliveryMethod 	The delivery method(s) available for this offer.
businessFunction	BusinessFunction 	The business function (e.g. sell, lease, repair, dispose) of the offer or component of a bundle (TypeAndQuantityNode). The default is http://purl.org/goodrelations/v1#Sell.
category	"PhysicalActivityCategory  or 
Text  or 
Thing "	A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.
deliveryLeadTime	QuantitativeValue 	The typical delay between the receipt of the order and the goods either leaving the warehouse or being prepared for pickup, in case the delivery method is on site pickup.
eligibleCustomerType	BusinessEntityType 	The type(s) of customers for which the given offer is valid.
eligibleDuration	QuantitativeValue 	The duration for which the given offer is valid.
eligibleQuantity	QuantitativeValue 	The interval and unit of measurement of ordering quantities for which the offer or price specification is valid. This allows e.g. specifying that a certain freight charge is valid only for a certain quantity.
eligibleRegion	"GeoShape  or 
Place  or 
Text "	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is valid.
See also ineligibleRegion."
eligibleTransactionVolume	PriceSpecification 	The transaction volume, in a monetary unit, for which the offer or price specification is valid, e.g. for indicating a minimal purchasing volume, to express free shipping above a certain order volume, or to limit the acceptance of credit cards to purchases to a certain minimal amount.
gtin12	Text 	The GTIN-12 code of the product, or the product to which the offer refers. The GTIN-12 is the 12-digit GS1 Identification Key composed of a U.P.C. Company Prefix, Item Reference, and Check Digit used to identify trade items. See GS1 GTIN Summary for more details.
gtin13	Text 	The GTIN-13 code of the product, or the product to which the offer refers. This is equivalent to 13-digit ISBN codes and EAN UCC-13. Former 12-digit UPC codes can be converted into a GTIN-13 code by simply adding a preceeding zero. See GS1 GTIN Summary for more details.
gtin14	Text 	The GTIN-14 code of the product, or the product to which the offer refers. See GS1 GTIN Summary for more details.
gtin8	Text 	The GTIN-8 code of the product, or the product to which the offer refers. This code is also known as EAN/UCC-8 or 8-digit EAN. See GS1 GTIN Summary for more details.
includesObject	TypeAndQuantityNode 	This links to a node or nodes indicating the exact quantity of the products included in the offer.
ineligibleRegion	"GeoShape  or 
Place  or 
Text "	"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, the place, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is not valid, e.g. a region where the transaction is not allowed.
See also eligibleRegion."
inventoryLevel	QuantitativeValue 	The current approximate inventory level for the item or items.
itemCondition	OfferItemCondition 	A predefined value from OfferItemCondition or a textual description of the condition of the product or service, or the products or services included in the offer.
itemOffered	"Product  or 
Service "	The item being offered.
mpn	Text 	The Manufacturer Part Number (MPN) of the product, or the product to which the offer refers.
offeredBy	"Organization  or 
Person "	"A pointer to the organization or person making the offer.
Inverse property: makesOffer."
price	"Number  or 
Text "	"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.
Usage guidelines:
Use the priceCurrency property (with ISO 4217 codes e.g. ""USD"") instead of including ambiguous symbols such as '$' in the value.
Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.
Note that both RDFa and Microdata syntax allow the use of a ""content="" attribute for publishing simple machine-readable values alongside more human-friendly formatting.
Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols."
priceCurrency	Text 	The currency (in 3-letter ISO 4217 format) of the price or a price component, when attached to PriceSpecificationand its subtypes.
priceSpecification	PriceSpecification 	One or more detailed price specifications, indicating the unit price and delivery or payment charges.
priceValidUntil	Date 	The date after which the price is no longer available.
review	Review 	A review of the item. Supersedes reviews.
seller	"Organization  or 
Person "	An entity which offers (sells / leases / lends / loans) the services / goods. A seller may also be a provider. Supersedes merchant, vendor.
serialNumber	Text 	The serial number or any alphanumeric identifier of a particular product. When attached to an offer, it is a shortcut for the serial number of the product included in the offer.
sku	Text 	The Stock Keeping Unit (SKU), i.e. a merchant-specific identifier for a product or service, or the product to which the offer refers.
validFrom	DateTime 	The date when the item becomes valid.
validThrough	DateTime 	The date after when the item is not valid. For example the end of an offer, salary period, or a period of opening hours.
warranty	WarrantyPromise 	The warranty promise(s) included in the offer. Supersedes warrantyPromise.
abridged	Boolean 	Indicates whether the book is an abridged edition.
bookEdition	Text 	The edition of the book.
bookFormat	BookFormatType 	The format of the book.
illustrator	Person 	The illustrator of the book.
isbn	Text 	The ISBN of the book.
numberOfPages	Integer 	The number of pages in the book.
actor	Person 	An actor, e.g. in tv, radio, movie, video games etc., or in an event. Actors can be associated with individual items or with a series, episode, clip. Supersedes actors.
countryOfOrigin	Country 	The country of the principal offices of the production company or individual responsible for the movie or program.
director	Person 	A director of e.g. tv, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip. Supersedes directors.
duration	Duration 	The duration of the item (movie, audio recording, event, etc.) in ISO 8601 date format.
musicBy	"MusicGroup  or 
Person "	The composer of the soundtrack.
productionCompany	Organization 	The production company or studio responsible for the item e.g. series, video game, episode etc.
subtitleLanguage	"Language  or 
Text "	Languages in which subtitles/captions are available, in IETF BCP 47 standard format.
trailer	VideoObject 	The trailer of a movie or tv/radio series, season, episode, etc.
actor	Person 	An actor, e.g. in tv, radio, movie, video games etc., or in an event. Actors can be associated with individual items or with a series, episode, clip. Supersedes actors.
caption	Text 	The caption for this object.
director	Person 	A director of e.g. tv, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip. Supersedes directors.
musicBy	"MusicGroup  or 
Person "	The composer of the soundtrack.
thumbnail	ImageObject 	Thumbnail image for an image or video.
transcript	Text 	If this MediaObject is an AudioObject or VideoObject, the transcript of that object.
videoFrameSize	Text 	The frame size of the video.
videoQuality	Text 	The quality of the video.
byArtist	MusicGroup 	The artist that performed this album or recording.
duration	Duration 	The duration of the item (movie, audio recording, event, etc.) in ISO 8601 date format.
inAlbum	MusicAlbum 	The album to which this recording belongs.
inPlaylist	MusicPlaylist 	The playlist to which this recording belongs.
isrcCode	Text 	The International Standard Recording Code for the recording.
recordingOf	MusicComposition 	"The composition this track is a recording of.
Inverse property: recordedAs."
cookTime	Duration 	The time it takes to actually cook the dish, in ISO 8601 duration format.
cookingMethod	Text 	The method of cooking, such as Frying, Steaming, ...
nutrition	NutritionInformation 	Nutrition information about the recipe or menu item.
recipeCategory	Text 	The category of the recipe—for example, appetizer, entree, etc.
recipeCuisine	Text 	The cuisine of the recipe (for example, French or Ethiopian).
recipeIngredient	Text 	A single ingredient used in the recipe, e.g. sugar, flour or garlic. Supersedes ingredients.
recipeInstructions	"CreativeWork  or 
ItemList  or 
Text "	A step in making the recipe, in the form of a single item (document, video, etc.) or an ordered list with HowToStep and/or HowToSection items.
recipeYield	"QuantitativeValue  or 
Text "	The quantity produced by the recipe (for example, number of people served, number of servings, etc).
suitableForDiet	RestrictedDiet 	Indicates a dietary restriction or guideline for which this recipe or menu item is suitable, e.g. diabetic, halal etc.
actor	Person 	An actor, e.g. in tv, radio, movie, video games etc., or in an event. Actors can be associated with individual items or with a series, episode, clip. Supersedes actors.
containsSeason	CreativeWorkSeason 	A season that is part of the media series. Supersedes season.
countryOfOrigin	Country 	The country of the principal offices of the production company or individual responsible for the movie or program.
director	Person 	A director of e.g. tv, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip. Supersedes directors.
episode	Episode 	An episode of a tv, radio or game media within a series or season. Supersedes episodes.
musicBy	"MusicGroup  or 
Person "	The composer of the soundtrack.
numberOfEpisodes	Integer 	The number of episodes in this season or series.
numberOfSeasons	Integer 	The number of seasons in this series.
productionCompany	Organization 	The production company or studio responsible for the item e.g. series, video game, episode etc.
trailer	VideoObject 	The trailer of a movie or tv/radio series, season, episode, etc.
transcript	Text 	If this MediaObject is an AudioObject or VideoObject, the transcript of that object.
Properties from MediaObject		
associatedArticle	NewsArticle 	A NewsArticle associated with the Media Object.
bitrate	Text 	The bitrate of the media object.
contentSize	Text 	File size in (mega/kilo) bytes.
contentUrl	URL 	Actual bytes of the media object, for example the image file or video file.
duration	Duration 	The duration of the item (movie, audio recording, event, etc.) in ISO 8601 date format.
embedUrl	URL 	A URL pointing to a player for a specific video. In general, this is the information in the src element of an embed tag and should not be the same as the content of the loc tag.
encodesCreativeWork	CreativeWork 	The CreativeWork encoded by this media object.
encodingFormat	Text 	mp3, mpeg4, etc.
height	"Distance  or 
QuantitativeValue "	The height of the item.
playerType	Text 	Player type required—for example, Flash or Silverlight.
productionCompany	Organization 	The production company or studio responsible for the item e.g. series, video game, episode etc.
regionsAllowed	Place 	The regions where the media is allowed. If not specified, then it's assumed to be allowed everywhere. Specify the countries in ISO 3166 format.
requiresSubscription	Boolean 	Indicates if use of the media require a subscription (either paid or free). Allowed values are true or false (note that an earlier version had 'yes', 'no').
uploadDate	Date 	Date when this media object was uploaded to this site.
width	"Distance  or 
QuantitativeValue "	The width of the item.
highPrice	"Number  or 
Text "	The highest price of all offers available.
lowPrice	"Number  or 
Text "	The lowest price of all offers available.
offerCount	Integer 	The number of offers for the product.
offers	Offer 	An offer to provide this item—for example, an offer to sell a product, rent the DVD of a movie, perform a service, or give away tickets to an event.
actionStatus	ActionStatusType 	Indicates the current disposition of the Action.
agent	"Organization  or 
Person "	The direct performer or driver of the action (animate or inanimate). e.g. John wrote a book.
endTime	DateTime 	"The endTime of something. For a reserved event or service (e.g. FoodEstablishmentReservation), the time that it is expected to end. For actions that span a period of time, when the action was performed. e.g. John wrote a book from January to December.
Note that Event uses startDate/endDate instead of startTime/endTime, even when describing dates with times. This situation may be clarified in future revisions."
error	Thing 	For failed actions, more information on the cause of the failure.
instrument	Thing 	The object that helped the agent perform the action. e.g. John wrote a book with a pen.
location	"Place  or 
PostalAddress  or 
Text "	The location of for example where the event is happening, an organization is located, or where an action takes place.
object	Thing 	The object upon which the action is carried out, whose state is kept intact or changed. Also known as the semantic roles patient, affected or undergoer (which change their state) or theme (which doesn't). e.g. John read a book.
participant	"Organization  or 
Person "	Other co-agents that participated in the action indirectly. e.g. John wrote a book with Steve.
result	Thing 	The result produced in the action. e.g. John wrote a book.
startTime	DateTime 	"The startTime of something. For a reserved event or service (e.g. FoodEstablishmentReservation), the time that it is expected to start. For actions that span a period of time, when the action was performed. e.g. John wrote a book from January to December.
Note that Event uses startDate/endDate instead of startTime/endTime, even when describing dates with times. This situation may be clarified in future revisions."
target	EntryPoint 	Indicates a target EntryPoint for an Action.
highPrice	"Number  or 
Text "	The highest price of all offers available.
lowPrice	"Number  or 
Text "	The lowest price of all offers available.
offerCount	Integer 	The number of offers for the product.
offers	Offer 	An offer to provide this item—for example, an offer to sell a product, rent the DVD of a movie, perform a service, or give away tickets to an event.
